Orden Num,Rango de error permitido,Operating Temperature,Empty or loaded,Tipo de Horno,SetPoint,Uniformidad Sup,Uniformidad Inf,Overshoot,Heat Up Time (min),Lag Time (min),Tipo de horno,Gas o eléctrico,"TUS, Passed or Failed",Tiempo de precalentamiento de horno antes de Survey (hrs),Temperatura de precalentamiento de horno antes de Survey XXoC ó XXoF,Posición del termopar,Posición del termopar de control con respecto al bafle,Posición del termopar en la carga,Tipo de probeta,Tipo de aislamiento de las paredes (sin considerar el poyo),Tipo de aislamiento del techo,Tipo de aislamiento del carro o piso,Altura del poyo de las paredes,Numero de zonas,Ubicación de las zonas,Dimensiones internas del horno. L= largo o profundo (Pulgadas),Dimensiones internas del horno. W=Ancho (Pulgadas),Dimensiones internas del horno. H=alto (Pulgadas),Dimensiones Setting de carga. L= largo o profundo (Pulgadas),Dimensiones Setting de carga. W=Ancho (Pulgadas),Dimensiones Setting de carga. H=alto (Pulgadas),Distancia del volumen de carga a Techo (pulgadas),Distancia de valumen de carga a paredes (pulgadas),Distancia de volumen de carga a piso (pulgadas),Carga humeda (después del quench),Cantidad de extracciones,Longitud de la flama del quemador,Cantidad de Quemadores,Tipo de Controlador,Resolución de tarjeta de entrada de Termopares,"Algoritmo de lectura de temperatura (Directo, promedio, ponderado, etc)","Tipo de calentamiento [Entrada Escalón, Rampa o Receta]",Trick. Low Cut back tipo Eurotherm o tipo Honeywell (Fuzzy),Trick. Low cut back tipo NB,"Trick, Apagado de quemadores","Trick, Offset ( escondido o en parámetro)","Trick, Diferentes offsets para difernetes setpoints",Trick. Bias,Tipo de Termopar de control,Tipo de control de presión,"Dispositivo para control de Presión (VFD en extractor, Dampers de corderita, Flautas de aire).",Tipo de control,Cambios de aire,Volumen del recirculador (CADA uno) (SCFH) o SCFM,Que pueda arrancar el recirculador al 100% desde Frio,"Tipo de Recirculador (centrifugo, axial, con Scroll), tipo de scroll y tipo de aspas",Cantidad de recirculadores por zona,Velocidad del aire,Velocidad Teóríca de aire en Rejillas (Toda abierta),"Patrón de flujo del aire (Horizontal, vertica down directo, vertcical down con bafle, vertical up, directo o vertical up con bafle).",Reversibilidad del flujo de aire,"Tipo de bafle [tachas, nada, rejillas ajustables, circulos fijos]",Baffle para ajustar el retorno,Porcentaje de cobertura del aire que sale del bafle con respacto a la carga (%),Venas en descarga [ver dibujo],Venas en esquinas,Venas ladronas de aire para rejillas,Venas direccionadoras,"Posicion de quemador (Antes o despues del recirculador, )",Con Rompe flamas,Tipo de tubo a la salida del quemador,longitud del tubo (Pulgadas),Distancia de la pared donde esta el quemador al centro del recirculador (Pulgadas),Quemador de tubo radiante,Posicion de la toma del Extractor,Posición de diluciones,Regulador Cross connected,Uso de Piers,"Separación entre piers . Libre de cara, el espacio libre que ve el quemador. Si es piramidal, se mide al centro en altura del quemador. (Pulgadas)",Con charola,Cantidad de extacciones de gases,Posición de las extracciones de gases,Posición de quemadores,Modo de control,Exceso de aire Variable,Flame less,Distancia entre quemadores nivel 1 Visto de planta (pulgadas),Distancia entre quemadores nivel 2 Visto de planta (pulgadas)
16-2837,5,200,Loaded for TUS,Rec,200,38,35,12,51,35,Lineal,Gas,Passed,,NA,,,,,Fibra,Fibra,Fibra,,3,Verticales a lo largo,202,95,70,180,86,57,4,4.5,9,NA,1,NA,3,Compact Logix,16 bits,,Conjunto de escalones,NA,NA,NA,NA,NA,NA,"SS 3/4"" (tipo Bickley)",Lazo abierto,Damper de acero,NA,140.86,36500,,,1,,,Vertical directo hacia arriba,No,,,,No,Sí,No,,Antes,No,Salida a 45o,53,47,No,Sin Extractor,NA,,,,,,,,,No,NA,NA,NA
16-2864-1,10,870,Empty,Rec,870,114,94,10,40,74,Caja,Gas,Passed,,NA,,,,,,,,,2,,192,117,158,138,86,89,36,15.5,33,No,1,18,4,HC900,15 bits,Directo,Conjunto de escalones,NA,NA,NA,NA,NA,NA,,Lazo abierto,Damper de acero,NA,31.16,8000,,Scroll,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA
16-2864-2,10,1000,Empty,Rec,1050,21,1,10,12,92,Caja,Gas,Passed,,NA,,,,,,,,,2,,192,117,158,138,86,89,36,15.5,33,No,1,18,4,HC900,15 bits,Directo,Conjunto de escalones,NA,NA,NA,NA,NA,NA,,Lazo abierto,Damper de acero,NA,31.16,8000,,Scroll,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,NA,NA,NA
23-3281,15,600,Empty,Rec,600,81,51,15,67,144,Caja,Gas,Passed,No,NA,"Pareed Trasera, parte media de la carga",En la zona de carga,NA,Sin Probeta,Fibra,Fibra,NA,NA,1,Al frente y atrás,208,144,171,144,144,96,51,0,24,No,1,NA,2,Compact Logix,16 bits,Directo,Escalón,NA,Si,Si,No,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo Abierto,Damper de acero,NA,60.73,90000,No,Centrifugo,2,14,,Vertical,No,NA,No,100%,No,Si,No,No,Antes,No,Salida plana,,,No,Trasera Superior,Lateral,No,Si,Si,Sí,1,Atrás arriba,Solo arriba,Ratio,No,NA,NA,NA
23-3281,15,750,Empty,Rec,750,74,44,15,47,119,Caja,Gas,Passed,No,NA,"Pareed Trasera, parte media de la carga",En la zona de carga,NA,Sin Probeta,Fibra,Fibra,NA,NA,2,Al frente y atrás,208,144,171,144,144,96,51,0,24,No,2,NA,3,Compact Logix,16 bits,Directo,Escalón,NA,Si,Si,No,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo Abierto,Damper de acero,NA,60.73,90000,No,Centrifugo,3,15,,Vertical,No,NA,No,200%,No,Si,No,No,Antes,No,Salida plana,,,No,Trasera Superior,Lateral,No,Si,Si,Sí,2,Atrás arriba,Solo arriba,Ratio,No,NA,NA,NA
23-3281,15,900,Empty,Rec,1000,136,106,15,56,185,Caja,Gas,Passed,No,NA,"Pareed Trasera, parte media de la carga",En la zona de carga,NA,Sin Probeta,Fibra,Fibra,NA,NA,3,Al frente y atrás,208,144,171,144,144,96,51,0,24,No,3,NA,4,Compact Logix,16 bits,Directo,Escalón,NA,Si,Si,No,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo Abierto,Damper de acero,NA,60.73,90000,No,Centrifugo,4,16,,Vertical,No,NA,No,300%,No,Si,No,No,Antes,No,Salida plana,,,No,Trasera Superior,Lateral,No,Si,Si,Sí,3,Atrás arriba,Solo arriba,Ratio,No,NA,NA,NA
23-3283,10,250,Empty,Rec,250,39,29,5,28.5,41,Caja,Gas,Passed,No,NA,"Pareed Lateral, parte media de la carga",Por dentro del bafle,NA,Sin Probeta,NA,NA,NA,NA,1,,120,118,106,96,96,72,23,11,11,NA,1,NA,1,Compact Logix,16 bits,Directo,Escalón,Sí,Si,No,Sí,No,Sí,"SS 316 de 1/4""",Lazo abierto,Damper de acero,NA,65.35,56768,Sí,Centrifugo,1,10,,Vertical,No,Rejillas ajustables,Si,Si,No,Si,Si,Si,Antes,Si,Salida plana,,,NA,Sin Extractor,Pared trasera,No,NA,NA,,,Arriba del lado positivo,"Pared Atrás, sólo arriba",Proporcional,No,NA,NA,NA
23-3283,10,250,Empty,Rec,375,47,37,5,4,2,Caja,Gas,Passed,No,NA,"Pareed Lateral, parte media de la carga",Por dentro del bafle,NA,Sin Probeta,NA,NA,NA,NA,1,,120,118,106,96,96,72,23,11,11,NA,1,NA,1,Compact Logix,16 bits,Directo,Escalón,Sí,Si,No,Sí,No,Sí,"SS 316 de 1/4""",Lazo abierto,Damper de acero,NA,65.35,56768,Sí,Centrifugo,1,10,,Vertical,No,Rejillas ajustables,Si,Si,No,Si,Si,Si,Antes,Si,Salida plana,,,NA,Sin Extractor,Pared trasera,No,NA,NA,,,Arriba del lado positivo,"Pared Atrás, sólo arriba",Proporcional,No,NA,NA,NA
23-3283,10,250,Empty,Rec,500,13,3,5,19.4,72.4,Caja,Gas,Passed,No,NA,"Pareed Lateral, parte media de la carga",Por dentro del bafle,NA,Sin Probeta,NA,NA,NA,NA,1,,120,118,106,96,96,72,23,11,11,NA,1,NA,1,Compact Logix,16 bits,Directo,Escalón,Sí,Si,No,Sí,No,Sí,"SS 316 de 1/4""",Lazo abierto,Damper de acero,NA,65.35,56768,Sí,Centrifugo,1,10,,Vertical,No,Rejillas ajustables,Si,Si,No,Si,Si,Si,Antes,Si,Salida plana,,,NA,Sin Extractor,Pared trasera,No,NA,NA,,,Arriba del lado positivo,"Pared Atrás, sólo arriba",Proporcional,No,NA,NA,NA
14-2764,10,100,Loaded,Rec,1000,6,1,10,71.33,44.6,Caja,Gas,Passed,No,NA,"Pareed Lateral, parte media de la carga",Por dentro del bafle,NA,Sin Probeta,Fibra,Fibra,Fibra,NA,1,NA,171,62,62,132,48,31,13,7,18,No,0,NA,6,Compact Logix,16 bits,,Escalon,NA,NA,Sí,No,No,No,"Inconel 3/4"" (tipo Bickley)",NA,NA,NA,73.61,14000,Sí,,2,,,,,,,,,,,,,,,,,,NA,,Sí,NA,NA,NA,0,NA,NA,Proporcional,No,NA,NA,NA
